line	upper
0	11.288607674201765
1	11.515221827557
2	11.58805487833744
3	11.677625264109015
4	11.75406529285869
5	11.767029072120085
6	11.731112732732592
7	11.72401607148711
8	11.696911281535119
9	11.603127413883934
10	11.69394578474449
11	11.691296859276164
12	11.780047652246225
13	11.866983196052814
14	11.761793073079211
15	11.820876161263454
16	11.868859919674637
17	11.922776989304651
18	11.972873169769468
19	11.895723182436033
20	11.81801688920673
21	11.680732306927213
22	11.754439741138874
23	11.847333939064063
24	11.788343331710687
25	11.863507938427604
26	11.913763312697517
27	11.834527476975696
28	11.89332514281387
29	12.008773457175295
30	11.972628424226514
31	11.975864028129237
32	12.009782798082043
33	11.970469510798274
34	11.94058973640543
35	12.110006181434695
36	12.226183918860466
37	12.246754298498022
38	12.136080135989712
39	12.02773774151703
40	11.853685064947047
41	11.702716785087333
42	11.925985628851468
43	12.091517058921312
44	12.147616529625092
45	12.078482273059544
46	12.01274927841865
47	11.821470422406778
48	11.864111634249092
49	12.00032639534464
50	12.045572626538707
51	12.22202566166998
52	12.069964052660616
53	12.201262645850967
54	12.207485328167616
55	12.02892307273036
56	12.391703487786609
57	12.563011081993878
58	12.808204548999987
59	13.108281425837266
60	12.942357441991
61	12.877258550596892
62	12.730571226879574
63	12.324194248789881
64	12.214159612946899
65	12.052944288597217
66	11.762286238881662
67	12.117035854902873
68	12.082355247281962
69	11.84204866020217
70	12.246088779202813
71	12.22158191768747
72	12.072617266204425
73	12.297250398821426
74	12.02922583893043
75	11.772559101476395
76	12.193489239599396
77	12.62669741666786
78	12.455641652551048
79	12.349606191854242
80	11.770869226708076
81	11.237020970905686
82	11.561480599926515
83	11.67971049107371
84	12.070281088792301
85	12.117200303231101
86	11.795168539871815
87	11.630072428237664
88	11.36554125836018
89	11.094369993036278
90	11.377576875826332
91	11.20247024099763
92	11.348372316629
93	12.1527860459629
94	12.06289538881999
95	12.776539418529033
96	12.558097360494358
97	12.05484267020147
98	11.521852946757374
99	10.61643311527227
100	11.371932724618503
101	11.559541699918668
102	11.932331451224812
103	12.212590966489289
104	11.602236306437408
105	11.877614815447537
106	11.839925048275575
107	12.311788715276277
108	12.095460863250649
109	11.759402721176944
110	11.531102279491277
111	11.121560203305938
112	11.022164590209108
113	10.635007280451893
114	11.48541431802877
115	11.59985240744177
116	12.094499499999998
117	12.308676749999993
118	11.515258000000003
119	11.590713250000002
120	11.228158000000013
121	11.041371500000016
122	10.930897500000006
123	11.283675750000008
124	11.281995249999996
125	11.845578749999996
126	11.866362749999997
127	10.899782250000069
128	12.077016750000071
129	11.126792500000063
130	11.415673000000062
131	11.473442000000006
132	9.988215000000002
133	11.134278500000011
134	11.056667500000016
135	11.131373749999998
136	11.839984999999999
137	11.858152749999999
138	11.438148999999997
139	11.533416999999996
140	11.416851249999997
141	9.89329825
142	10.016551999999999
143	10.61019175
144	10.883721999999999
145	11.43084825
146	12.18215975
